       x,       x,       x,       x
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,       0,       0
       0,       0,  123281,       0
       0,       0,  245415,   14660
       0,       0,  364136,   43575
       0,       0,  354009,   85939
       0,       0,  337499,  125946
       0,       0,  315138,  162519
       0,       0,  287657,  194714
       0,       0,  255926,  221704
       0,       0,  220980,  242860
       0,       0,  183927,  257750
       0,       0,  145940,  266166
       0,       0,  108204,  268112
       0,       0,   71870,  263813
       0,       0,   38043,  253707
       0,       0,    7704,  238418
       0,       0,  -18282,  218756
       0,       0,  -39245,  195648
       0,       0,  -54689,  170156
       0,       0,  -64347,  143390
       0,       0,  -68128,  116496
       0,       0,  -66198,   90621
       0,       0,  -58914,   66841
       0,       0,  -46835,   46171
       0,       0,  -30713,   29447
       0,       0,  -11424,   17389
       0,       0,   10003,   10504
       0,       0,   32502,    9128
       0,       0,   54938,   13363
       0,       0,   76185,   23095
       0,       0,   95154,   38000
       0,       0,  110833,   57556
       0,       0,  122341,   81043
       0,       0,  128938,  107601
       0,       0,  130074,  136212
       0,       0,  125371,  165815
       0,       0,  114673,  195243
       0,       0,   98050,  223358
       0,       0,   75800,  249020
       0,       0,   48416,  271194
       0,       0,   16589,  288921
       0,       0,  -18837,  301406
       0,       0,  -56861,  307997
       0,       0,  -96404,  308264
       0,       0, -136289,  301976
       0,       0, -175337,  289129
       0,       0, -212364,  269941
       0,       0, -246255,  244823
       0,       0, -275980,  214410
       0,       0, -300656,  179500
       0,       0, -319561,  141060
       0,       0, -332142,  100151
       0,       0, -338072,   57930
       0,       0, -337229,   15598
       0,       0, -329731,  -25641
       0,       0, -315897,  -64640
       0,       0, -296256, -100328
       0,       0, -271532, -131745
       0,       0, -242585, -158084
       0,       0, -210449, -178712
       0,       0, -176222, -193201
