       X,       X
       0,       0
       0,       0
       0,       0
       0,       0
       0,       0
       0,       0
       0,       0
       0,       0
       0,       0
  369872,       0
  366432,   43984
  356192,   86752
  339488,  127104
  316896,  164016
  289104,  196480
  257040,  223696
  221696,  244992
  184256,  259952
  145872,  268368
  107728,  270240
   71040,  265792
   36864,  255472
    6240,  239920
  -19984,  219920
  -41104,  196480
  -56656,  170592
  -66320,  143440
  -70080,  116176
  -68000,   89904
  -60528,   65808
  -48224,   44832
  -31760,   27888
  -12160,   15632
    9648,    8656
   32528,    7232
   55344,   11504
   76960,   21360
   96272,   36432
  112256,   56224
  124000,   80032
  130800,  106896
  132048,  135904
  127408,  165872
  116688,  195712
   99952,  224192
   77536,  250224
   49936,  272704
   17792,  290720
  -17952,  303408
  -56352,  310160
  -96288,  310496
 -136592,  304208
 -176016,  291296
 -213440,  271952
 -247680,  246640
 -277696,  215936
 -302624,  180704
 -321712,  141904
 -334416,  100608
 -340368,   57968
 -339504,   15232
 -331888,  -26400
 -317872,  -65760
 -298000, -101776
 -272960, -133472
 -243696, -160016
 -211152, -180800
 -176544, -195360
 -141008, -203488
 -105728, -205200
  -71904, -200736
  -40608, -190512
  -12832, -175184
   10560, -155536
   28864, -132560
   41616, -107280
   48496,  -80848
   49520,  -54416
   44736,  -29120
   34608,   -6096
   19696,   13680
     704,   29328
  -21392,   40160
  -45616,   45600
  -70848,   45392
  -95952,   39392
 -119760,   27696
 -141184,   10704
 -159200,  -11120
 -172896,  -37008
 -181536,  -66080
 -184528,  -97344
 -181536, -129664
 -172352, -161904
 -157056, -192880
 -135968, -221456
 -109584, -246528
  -78544, -267184
  -43760, -282560
   -6208, -292048
   32976, -295136
   72656, -291664
  111600, -281568
  148656, -265056
  182640, -242592
  212544, -214768
  237488, -182400
  256720, -146448
  269664, -108000
  276016,  -68208
  275648,  -28288
  268688,   10560
  255408,   47152
  236416,   80432
  212384,  109440
  184224,  133360
  152896,  151552
  119648,  163584
   85552,  169248
   51840,  168560
   19664,  161760
   -9872,  149280
  -35776,  131776
  -57216,  110032
  -73472,   85056
  -84096,   57840
  -88784,   29600
  -87488,    1456
  -80368,  -25472
  -67808,  -50000
  -50400,  -71168
  -28848,  -88112
   -4144, -100128
   22736, -106640
   50688, -107376
   78528, -102192
  105120,  -91200
  129344,  -74784
  150176,  -53424
  166720,  -27856
  178224,    1008
  184080,   32192
  183952,   64560
  177632,   96976
  165184,  128240
  146912,  157216
  123344,  182848
   95088,  204176
   63056,  220336
   28224,  230736
   -8304,  234864
  -45360,  232528
  -81728,  223696
 -116256,  208560
 -147808,  187568
 -175312,  161328
 -197952,  130656
 -214944,   96496
 -225744,   59936
